[Your Brand] SAMPLE PACK ECONOMICS MODEL,,,,,,,
,,,,,,,
ASSUMPTIONS,,,,,,,
Base subscription price (monthly),[XX],,,,,,
Average add-ons per customer,0.3,,,,,,
Add-on price (monthly),[XX],,,,,,
Average monthly revenue per customer,[XX],,=B2+(B3*B4),,,,
Subscription gross margin %,0.65,,,,,,
Average customer lifespan (months),6,,,,,,
Customer LTV (6-month),[XXX],,=B5*B6*B7,,,,
,,,,,,,
SAMPLE PACK COSTS,,,,,,,
7-day base product A COGS,0.9,,,,,,
7-day base product B COGS,0.9,,,,,,
Add-on sample COGS (if included),0.5,,,,,,
Branded mailer/pouch,0.6,,,,,,
Printed ritual card,0.15,,,,,,
QR code insert,0.05,,,,,,
Postage (Royal Mail 2nd Class),1.15,,,,,,
Packaging labour,0.25,,,,,,
Payment processing (Stripe),0.33,,,,,,
Total cost per sample pack,4.83,,=SUM(B12:B20),,,,
,,,,,,,
SCENARIO COMPARISON,,,,,,,
,Scenario A: Free+Ship,Scenario B: Low-Cost,Scenario C: Break-Even,,,,
Sample pack price,4.99,8.99,16.99,,,,
Gross profit per pack,0.16,4.16,12.16,,=price - total cost,,
Ad/organic cost per acquisition,8,8,8,,,,
Total CAC,7.84,3.84,-4.16,,=ad cost - pack profit,,
Required conversion (to cover CAC),4.6%,2.3%,Already profitable,,,,
,,,,,,,
PROJECTIONS (per 100 sample packs),Scenario A,Scenario B,Scenario C,,,,
Sample packs sold,100,100,100,,,,
Revenue from samples,499,899,1699,,,,
Cost of samples,483,483,483,,,,
Sample gross profit,16,416,1216,,,,
Marketing spend,800,800,800,,,,
Conversions to subscription (assume 20%),20,20,20,,,,
Subscription margin contribution (20% * LTV),[XXX],[XXX],[XXX],,,,
Total profit per 100 packs,[XXX],[XXX],[XXX],,=sample profit - marketing + sub margin,,
Profit per sample pack,[XX],[XX],[XX],,,,
,,,,,,,
BREAK-EVEN ANALYSIS,,,,,,,
Scenario A - Free+Shipping,,,,,,,
Conversion Rate,5%,10%,15%,20%,25%,30%,
Conversions per 100 packs,5,10,15,20,25,30,
Subscription margin,[XXX],[XXX],[XXX],[XXX],[XXX],[XXX],
Total profit per 100 packs,[XXX],[XXX],[XXX],[XXX],[XXX],[XXX],
,,,,,,,
Scenario B - Low-Cost,,,,,,,
Conversion Rate,5%,10%,15%,20%,25%,30%,
Conversions per 100 packs,5,10,15,20,25,30,
Subscription margin,[XXX],[XXX],[XXX],[XXX],[XXX],[XXX],
Total profit per 100 packs,[XXX],[XXX],[XXX],[XXX],[XXX],[XXX],
,,,,,,,
Scenario C - Break-Even,,,,,,,
Conversion Rate,5%,10%,15%,20%,25%,30%,
Conversions per 100 packs,5,10,15,20,25,30,
Subscription margin,[XXX],[XXX],[XXX],[XXX],[XXX],[XXX],
Total profit per 100 packs,[XXX],[XXX],[XXX],[XXX],[XXX],[XXX],
,,,,,,,
INSTRUCTIONS,,,,,,,
1. Open this file in Excel or Google Sheets,,,,,,,
2. Adjust YELLOW highlighted cells (assumptions) to match your actual costs,,,,,,,
3. All other cells calculate automatically,,,,,,,
4. Use the Break-Even Analysis section to model different conversion scenarios,,,,,,,
